date,variant,symbol,name,weight,state,state_code,upside,fair_price,close,factor,side
2025-11-14,B,600597,光明乳业,0.2,观察,watch,1.5,24.198657187993682,7.1,1.5,long
2025-11-14,B,600826,兰生股份,0.2,观察,watch,1.5,64.35142716913923,7.77,1.5,long
2025-11-14,B,002695,煌上煌,-0.2,观察,watch,-0.7481800393448141,3.2232954963863785,9.19,-0.7481800393448141,short
2025-11-14,B,600730,*ST高科,-0.2,观察,watch,-0.7624745879398439,2.38950564532517,9.54,-0.7624745879398439,short
2025-11-14,B,001313,粤海饲料,-0.2,观察,watch,-0.7666026389928708,1.8435238327576833,7.1,-0.7666026389928708,short
2025-11-14,B,002515,金字火腿,-0.2,观察,watch,-0.7666026389928708,1.2893244469997276,6.36,-0.7666026389928708,short
2025-11-14,B,600272,开开实业,-0.2,观察,watch,-0.7666026389928708,2.430861934691245,10.3,-0.7666026389928708,short
2025-11-21,B,002124,天邦食品,0.2,观察,watch,1.5,7.694079489432781,2.19,1.5,long
2025-11-21,B,002696,百洋股份,0.2,观察,watch,1.5,24.389255423494113,5.08,1.5,long
2025-11-21,B,002891,中宠股份,0.2,缩量回踩确认,confirming,1.5,240.084823976532,32.55,1.5,long
2025-11-21,B,600597,光明乳业,0.2,观察,watch,1.5,22.8136933677341,7.1,1.5,long
2025-11-21,B,600826,兰生股份,0.2,观察,watch,1.5,67.97865978676873,7.77,1.5,long
2025-11-21,B,600730,*ST高科,-0.2,观察,watch,-0.7384253155441882,2.524195704998584,9.54,-0.7384253155441882,short
2025-11-21,B,002695,煌上煌,-0.2,观察,watch,-0.7406987940845315,3.070126278039146,9.19,-0.7406987940845315,short
2025-11-21,B,001313,粤海饲料,-0.2,观察,watch,-0.7424556610627704,1.9264747381766705,7.1,-0.7424556610627704,short
2025-11-21,B,002515,金字火腿,-0.2,观察,watch,-0.7424556610627704,1.2280555848176868,6.36,-0.7424556610627704,short
2025-11-21,B,600272,开开实业,-0.2,观察,watch,-0.7424556610627704,2.2917406127610325,10.3,-0.7424556610627704,short
2025-11-28,B,002124,天邦食品,0.2,观察,watch,1.5,7.8532005705027546,2.19,1.5,long
2025-11-28,B,002696,百洋股份,0.2,观察,watch,1.5,24.104623252877865,5.08,1.5,long
2025-11-28,B,002891,中宠股份,0.2,缩量回踩确认,confirming,1.5,237.28285311218175,32.55,1.5,long
2025-11-28,B,600597,光明乳业,0.2,观察,watch,1.5,23.28552659866854,7.1,1.5,long
2025-11-28,B,600826,兰生股份,0.2,观察,watch,1.5,67.03817298084522,7.77,1.5,long
2025-11-28,B,002695,煌上煌,-0.2,观察,watch,-0.7426980507525961,3.1287917028484316,9.19,-0.7426980507525961,short
2025-11-28,B,001313,粤海饲料,-0.2,观察,watch,-0.7658066811685621,1.9039916820995901,7.1,-0.7658066811685621,short
2025-11-28,B,002515,金字火腿,-0.2,观察,watch,-0.7720773862382914,1.2515215257888255,6.36,-0.7720773862382914,short
2025-11-28,B,600272,开开实业,-0.2,观察,watch,-0.7720773862382914,2.339134764889349,10.3,-0.7720773862382914,short
2025-11-28,B,600730,*ST高科,-0.2,观察,watch,-0.7720773862382914,2.489275380826729,9.54,-0.7720773862382914,short
2025-12-05,B,002124,天邦食品,0.2,观察,watch,1.5,7.66327150566012,2.19,1.5,long
2025-12-05,B,002696,百洋股份,0.2,观察,watch,1.5,25.877531129522637,5.08,1.5,long
2025-12-05,B,002891,中宠股份,0.2,缩量回踩确认,confirming,1.5,254.73515850932682,32.55,1.5,long
2025-12-05,B,600576,祥源文旅,0.2,观察,watch,1.5,16.69019142828808,5.45,1.5,long
2025-12-05,B,600597,光明乳业,0.2,观察,watch,1.5,22.7223240552859,7.1,1.5,long
2025-12-05,B,002695,煌上煌,-0.2,观察,watch,-0.7454197002649662,3.1287918837435655,9.19,-0.7454197002649662,short
2025-12-05,B,001313,粤海饲料,-0.2,观察,watch,-0.7575289181313374,2.0440312201528257,7.1,-0.7575289181313374,short
2025-12-05,B,002515,金字火腿,-0.2,观察,watch,-0.7688307974670645,1.25152214132888,6.36,-0.7688307974670645,short
2025-12-05,B,600272,开开实业,-0.2,观察,watch,-0.7688307974670645,2.2825655674566425,10.3,-0.7688307974670645,short
2025-12-05,B,600730,*ST高科,-0.2,观察,watch,-0.7688307974670645,2.352091206452183,9.54,-0.7688307974670645,short
2025-12-12,B,002124,天邦食品,0.2,观察,watch,1.5,7.288576297976569,2.19,1.5,long
